name,lat,lon
Clementi Polyclinic,1.3126992,103.7656185
Bukit Merah Polyclinic,1.2836914,103.8170178
Geylang Polyclinic,1.3195749,103.88731
Woodlands Polyclinic,1.4307876,103.7752254
Jurong Polyclinic,1.3496231,103.7307295
Bukit Batok Polyclinic,1.3520458,103.747842
Tampines Polyclinic,1.3572803,103.9458598
Sengkang Polyclinic,1.3926934,103.8941112
Outram Polyclinic,1.2799045,103.8381683
Marine Parade Polyclinic,1.3025477,103.9077648
Bedok Polyclinic,1.3269378,103.9316066
Pasir Ris Polyclinic,1.3686674,103.9592631
Sembawang Polyclinic,1.4482078,103.8228151
